epoch,lr,batch_size,undersample_frac,structure,tn,fp,fn,tp,f1
0,0.0001,64,1,Brain,1394,1637,544,873,0.5028464485924267
0,0.0001,64,1,Bone_Mandible,2505,1070,435,438,0.5684536347646033
0,0.0001,64,1,SpinalCanal,578,1205,296,2369,0.5972468639272563
0,0.0001,64,1,Glnd_Lacrimal_L,3743,507,185,13,0.47579721666458896
0,0.0001,64,1,Lung_R,2306,898,485,759,0.6462877975700191
0,0.0001,64,1,Glnd_Submand_R,4045,17,379,7,0.49374062300604155
0,0.0001,64,1,Glnd_Lacrimal_R,3928,317,173,30,0.5251900747227849
0,0.0001,64,1,Cochlea_L,3585,769,80,14,0.46302673681363654
0,0.0001,64,1,OpticNrv_cnv_R,3536,783,91,38,0.4850037754845205
0,0.0001,64,1,Lens_R,4103,231,102,12,0.5141146750303354
0,0.0001,64,1,SpinalCord,168,1703,87,2490,0.4468207506138392
0,0.0001,64,1,Parotid_R,3137,685,411,215,0.5665357236218527
0,0.0001,64,1,Glnd_Submand_L,3514,566,326,42,0.48671965557211466
0,0.0001,64,1,Brainstem,2924,880,565,79,0.45021499606652443
0,0.0001,64,1,OpticNrv_cnv_L,4214,103,131,0,0.4864927268529208
0,0.0001,64,1,Cochlea_R,2826,1534,49,39,0.4140810753798575
0,0.0001,64,1,Eye_R,2300,1863,150,135,0.4069325084009059
0,0.0001,64,1,Lens_L,3419,917,98,14,0.44879783470943
0,0.0001,64,1,Lung_L,2104,1105,723,516,0.5289947957940005
0,0.0001,64,1,Eye_L,3868,297,263,20,0.49958212793314044
0,0.0001,64,1,Parotid_L,3376,448,608,16,0.44708293153326906
0,0.0001,64,1,Brain,1394,1637,544,873,0.5028464485924267
0,0.0001,64,1,Bone_Mandible,2505,1070,435,438,0.5684536347646033
0,0.0001,64,1,SpinalCanal,578,1205,296,2369,0.5972468639272563
0,0.0001,64,1,Glnd_Lacrimal_L,3743,507,185,13,0.47579721666458896
0,0.0001,64,1,Lung_R,2306,898,485,759,0.6462877975700191
0,0.0001,64,1,Glnd_Submand_R,4045,17,379,7,0.49374062300604155
0,0.0001,64,1,Glnd_Lacrimal_R,3928,317,173,30,0.5251900747227849
0,0.0001,64,1,Cochlea_L,3585,769,80,14,0.46302673681363654
0,0.0001,64,1,OpticNrv_cnv_R,3536,783,91,38,0.4850037754845205
0,0.0001,64,1,Lens_R,4103,231,102,12,0.5141146750303354
0,0.0001,64,1,SpinalCord,168,1703,87,2490,0.4468207506138392
0,0.0001,64,1,Parotid_R,3137,685,411,215,0.5665357236218527
0,0.0001,64,1,Glnd_Submand_L,3514,566,326,42,0.48671965557211466
0,0.0001,64,1,Brainstem,2924,880,565,79,0.45021499606652443
0,0.0001,64,1,OpticNrv_cnv_L,4214,103,131,0,0.4864927268529208
0,0.0001,64,1,Cochlea_R,2826,1534,49,39,0.4140810753798575
0,0.0001,64,1,Eye_R,2300,1863,150,135,0.4069325084009059
0,0.0001,64,1,Lens_L,3419,917,98,14,0.44879783470943
0,0.0001,64,1,Lung_L,2104,1105,723,516,0.5289947957940005
0,0.0001,64,1,Eye_L,3868,297,263,20,0.49958212793314044
0,0.0001,64,1,Parotid_L,3376,448,608,16,0.44708293153326906
1,0.0001,64,1,Brain,1881,1150,294,1123,0.6656499119735723
1,0.0001,64,1,Bone_Mandible,2963,612,425,448,0.6572990678168151
1,0.0001,64,1,SpinalCanal,549,1234,96,2569,0.6232981735452905
1,0.0001,64,1,Glnd_Lacrimal_L,4235,15,198,0,0.48773465392145576
1,0.0001,64,1,Lung_R,2663,541,269,975,0.787256958222323
1,0.0001,64,1,Glnd_Submand_R,4055,7,377,9,0.4997838685077087
1,0.0001,64,1,Glnd_Lacrimal_R,4242,3,200,3,0.5026699412805694
1,0.0001,64,1,Cochlea_L,4227,127,94,0,0.4872622478386167
1,0.0001,64,1,OpticNrv_cnv_R,4290,29,124,5,0.5219149702946092
1,0.0001,64,1,Lens_R,4334,0,113,1,0.5022613052885924
1,0.0001,64,1,SpinalCord,368,1503,47,2530,0.5437332814487448
1,0.0001,64,1,Parotid_R,3466,356,444,182,0.6046243308924575
1,0.0001,64,1,Glnd_Submand_L,4057,23,364,4,0.4873645542817748
1,0.0001,64,1,Brainstem,3186,618,621,23,0.43650348384761556
1,0.0001,64,1,OpticNrv_cnv_L,4316,1,131,0,0.4924691921497033
1,0.0001,64,1,Cochlea_R,4270,90,87,1,0.49543401675144505
1,0.0001,64,1,Eye_R,2923,1240,223,62,0.43898533223706815
1,0.0001,64,1,Lens_L,4055,281,111,1,0.4794846718658016
1,0.0001,64,1,Lung_L,2723,486,571,668,0.6978773305888137
1,0.0001,64,1,Eye_L,4165,0,283,0,0.4835713456403112
1,0.0001,64,1,Parotid_L,3752,72,604,20,0.4866126674953217
0,0.0001,64,1,Brain,1394,1637,544,873,0.5028464485924267
0,0.0001,64,1,Bone_Mandible,2505,1070,435,438,0.5684536347646033
0,0.0001,64,1,SpinalCanal,578,1205,296,2369,0.5972468639272563
0,0.0001,64,1,Glnd_Lacrimal_L,3743,507,185,13,0.47579721666458896
0,0.0001,64,1,Lung_R,2306,898,485,759,0.6462877975700191
0,0.0001,64,1,Glnd_Submand_R,4045,17,379,7,0.49374062300604155
0,0.0001,64,1,Glnd_Lacrimal_R,3928,317,173,30,0.5251900747227849
0,0.0001,64,1,Cochlea_L,3585,769,80,14,0.46302673681363654
0,0.0001,64,1,OpticNrv_cnv_R,3536,783,91,38,0.4850037754845205
0,0.0001,64,1,Lens_R,4103,231,102,12,0.5141146750303354
0,0.0001,64,1,SpinalCord,168,1703,87,2490,0.4468207506138392
0,0.0001,64,1,Parotid_R,3137,685,411,215,0.5665357236218527
0,0.0001,64,1,Glnd_Submand_L,3514,566,326,42,0.48671965557211466
0,0.0001,64,1,Brainstem,2924,880,565,79,0.45021499606652443
0,0.0001,64,1,OpticNrv_cnv_L,4214,103,131,0,0.4864927268529208
0,0.0001,64,1,Cochlea_R,2826,1534,49,39,0.4140810753798575
0,0.0001,64,1,Eye_R,2300,1863,150,135,0.4069325084009059
0,0.0001,64,1,Lens_L,3419,917,98,14,0.44879783470943
0,0.0001,64,1,Lung_L,2104,1105,723,516,0.5289947957940005
0,0.0001,64,1,Eye_L,3868,297,263,20,0.49958212793314044
0,0.0001,64,1,Parotid_L,3376,448,608,16,0.44708293153326906
1,0.0001,64,1,Brain,1881,1150,294,1123,0.6656499119735723
1,0.0001,64,1,Bone_Mandible,2963,612,425,448,0.6572990678168151
1,0.0001,64,1,SpinalCanal,549,1234,96,2569,0.6232981735452905
1,0.0001,64,1,Glnd_Lacrimal_L,4235,15,198,0,0.48773465392145576
1,0.0001,64,1,Lung_R,2663,541,269,975,0.787256958222323
1,0.0001,64,1,Glnd_Submand_R,4055,7,377,9,0.4997838685077087
1,0.0001,64,1,Glnd_Lacrimal_R,4242,3,200,3,0.5026699412805694
1,0.0001,64,1,Cochlea_L,4227,127,94,0,0.4872622478386167
1,0.0001,64,1,OpticNrv_cnv_R,4290,29,124,5,0.5219149702946092
1,0.0001,64,1,Lens_R,4334,0,113,1,0.5022613052885924
1,0.0001,64,1,SpinalCord,368,1503,47,2530,0.5437332814487448
1,0.0001,64,1,Parotid_R,3466,356,444,182,0.6046243308924575
1,0.0001,64,1,Glnd_Submand_L,4057,23,364,4,0.4873645542817748
1,0.0001,64,1,Brainstem,3186,618,621,23,0.43650348384761556
1,0.0001,64,1,OpticNrv_cnv_L,4316,1,131,0,0.4924691921497033
1,0.0001,64,1,Cochlea_R,4270,90,87,1,0.49543401675144505
1,0.0001,64,1,Eye_R,2923,1240,223,62,0.43898533223706815
1,0.0001,64,1,Lens_L,4055,281,111,1,0.4794846718658016
1,0.0001,64,1,Lung_L,2723,486,571,668,0.6978773305888137
1,0.0001,64,1,Eye_L,4165,0,283,0,0.4835713456403112
1,0.0001,64,1,Parotid_L,3752,72,604,20,0.4866126674953217
2,0.0001,64,1,Brain,2021,1010,202,1215,0.7182672149375169
2,0.0001,64,1,Bone_Mandible,3057,518,380,493,0.6976441962398703
2,0.0001,64,1,SpinalCanal,630,1153,46,2619,0.6630682607533473
2,0.0001,64,1,Glnd_Lacrimal_L,4250,0,198,0,0.48861807312025757
2,0.0001,64,1,Lung_R,2735,469,168,1076,0.8336480957524364
2,0.0001,64,1,Glnd_Submand_R,4045,17,364,22,0.5292762157395127
2,0.0001,64,1,Glnd_Lacrimal_R,4245,0,199,4,0.5078724112835208
2,0.0001,64,1,Cochlea_L,4354,0,94,0,0.49466030447625536
2,0.0001,64,1,OpticNrv_cnv_R,4319,0,129,0,0.49264286529029316
2,0.0001,64,1,Lens_R,4334,0,114,0,0.4935094511500797
2,0.0001,64,1,SpinalCord,501,1370,58,2519,0.5957490844798815
2,0.0001,64,1,Parotid_R,3667,155,498,128,0.5999351531497209
2,0.0001,64,1,Glnd_Submand_L,4052,28,362,6,0.49196799145314163
2,0.0001,64,1,Brainstem,3380,424,597,47,0.47654393276020757
2,0.0001,64,1,OpticNrv_cnv_L,4317,0,131,0,0.4925270964061609
2,0.0001,64,1,Cochlea_R,4360,0,88,0,0.49500454132606725
2,0.0001,64,1,Eye_R,3034,1129,199,86,0.46755507481521547
2,0.0001,64,1,Lens_L,4335,1,112,0,0.4935671182967095
2,0.0001,64,1,Lung_L,2865,344,445,794,0.7735190807905412
2,0.0001,64,1,Eye_L,4165,0,283,0,0.4835713456403112
2,0.0001,64,1,Parotid_L,3748,76,572,52,0.5293650461898591
0,0.0001,64,1,Brain,1394,1637,544,873,0.5028464485924267
0,0.0001,64,1,Bone_Mandible,2505,1070,435,438,0.5684536347646033
0,0.0001,64,1,SpinalCanal,578,1205,296,2369,0.5972468639272563
0,0.0001,64,1,Glnd_Lacrimal_L,3743,507,185,13,0.47579721666458896
0,0.0001,64,1,Lung_R,2306,898,485,759,0.6462877975700191
0,0.0001,64,1,Glnd_Submand_R,4045,17,379,7,0.49374062300604155
0,0.0001,64,1,Glnd_Lacrimal_R,3928,317,173,30,0.5251900747227849
