epoch,lr,batch_size,undersample_frac,structure,tn,fp,fn,tp,f1
0,0.0001,64,1,Brain,2196,835,983,434,0.5152017438786192
0,0.0001,64,1,Bone_Mandible,3566,9,872,1,0.44615933423023374
0,0.0001,64,1,SpinalCanal,16,1767,59,2606,0.37888705660888716
0,0.0001,64,1,Glnd_Lacrimal_L,4250,0,198,0,0.48861807312025757
0,0.0001,64,1,Lung_R,2059,1145,443,801,0.6119454086167889
0,0.0001,64,1,Glnd_Submand_R,3985,77,378,8,0.48998217064519584
0,0.0001,64,1,Glnd_Lacrimal_R,4245,0,203,0,0.4883239388013344
0,0.0001,64,1,Cochlea_L,3971,383,85,9,0.49069449949354826
0,0.0001,64,1,OpticNrv_cnv_R,4050,269,121,8,0.4967362356176783
0,0.0001,64,1,Lens_R,4334,0,114,0,0.4935094511500797
0,0.0001,64,1,SpinalCord,26,1845,10,2567,0.3809254380788508
0,0.0001,64,1,Parotid_R,3768,54,617,9,0.47218267247878426
0,0.0001,64,1,Glnd_Submand_L,4080,0,368,0,0.4784240150093808
0,0.0001,64,1,Brainstem,3778,26,640,4,0.4654336234767112
0,0.0001,64,1,OpticNrv_cnv_L,3415,902,99,32,0.46613429352345287
0,0.0001,64,1,Cochlea_R,4360,0,88,0,0.49500454132606725
0,0.0001,64,1,Eye_R,3536,627,241,44,0.4913651549803442
0,0.0001,64,1,Lens_L,4192,144,106,6,0.5084231168449959
0,0.0001,64,1,Lung_L,2545,664,570,669,0.6625440323121673
0,0.0001,64,1,Eye_L,4156,9,282,1,0.4865002644128824
0,0.0001,64,1,Parotid_L,3802,22,623,1,0.4624499470967677
0,0.0001,64,1,Brain,2196,835,983,434,0.5152017438786192
0,0.0001,64,1,Bone_Mandible,3566,9,872,1,0.44615933423023374
0,0.0001,64,1,SpinalCanal,16,1767,59,2606,0.37888705660888716
0,0.0001,64,1,Glnd_Lacrimal_L,4250,0,198,0,0.48861807312025757
0,0.0001,64,1,Lung_R,2059,1145,443,801,0.6119454086167889
0,0.0001,64,1,Glnd_Submand_R,3985,77,378,8,0.48998217064519584
0,0.0001,64,1,Glnd_Lacrimal_R,4245,0,203,0,0.4883239388013344
0,0.0001,64,1,Cochlea_L,3971,383,85,9,0.49069449949354826
0,0.0001,64,1,OpticNrv_cnv_R,4050,269,121,8,0.4967362356176783
0,0.0001,64,1,Lens_R,4334,0,114,0,0.4935094511500797
