epoch,lr,batch_size,undersample_frac,structure,tn,fp,fn,tp,f1
0,0.0001,64,1,Brain,2084,947,841,576,0.5458176285960993
0,0.0001,64,1,Bone_Mandible,3195,380,724,149,0.532617820361853
0,0.0001,64,1,SpinalCanal,296,1487,222,2443,0.4990718674248827
0,0.0001,64,1,Glnd_Lacrimal_L,4197,53,196,2,0.49350041775679004
0,0.0001,64,1,Lung_R,1869,1335,565,679,0.5399105996296725
0,0.0001,64,1,Glnd_Submand_R,4031,31,380,6,0.4899308860100461
0,0.0001,64,1,Glnd_Lacrimal_R,3236,1009,149,54,0.4667693626430963
0,0.0001,64,1,Cochlea_L,3389,965,75,19,0.4511120571859526
0,0.0001,64,1,OpticNrv_cnv_R,4058,261,120,9,0.5001367134441966
0,0.0001,64,1,Lens_R,4230,104,109,5,0.5101420365972642
0,0.0001,64,1,SpinalCord,699,1172,909,1668,0.5088393171869107
0,0.0001,64,1,Parotid_R,2837,985,481,145,0.47991296746489026
0,0.0001,64,1,Glnd_Submand_L,4008,72,363,5,0.4854993558371524
0,0.0001,64,1,Brainstem,3494,310,620,24,0.4658129260502977
0,0.0001,64,1,OpticNrv_cnv_L,3783,534,109,22,0.4928589578342938
0,0.0001,64,1,Cochlea_R,4337,23,88,0,0.49368241320432554
0,0.0001,64,1,Eye_R,4015,148,275,10,0.49755266072205384
0,0.0001,64,1,Lens_L,4195,141,109,3,0.49725115740740744
0,0.0001,64,1,Lung_L,2241,968,895,344,0.4880405681543325
0,0.0001,64,1,Eye_L,4101,64,282,1,0.48263491090205946
0,0.0001,64,1,Parotid_L,3164,660,523,101,0.4941730227675702
0,0.0001,64,1,Brain,2084,947,841,576,0.5458176285960993
0,0.0001,64,1,Bone_Mandible,3195,380,724,149,0.532617820361853
0,0.0001,64,1,SpinalCanal,296,1487,222,2443,0.4990718674248827
0,0.0001,64,1,Glnd_Lacrimal_L,4197,53,196,2,0.49350041775679004
0,0.0001,64,1,Lung_R,1869,1335,565,679,0.5399105996296725
0,0.0001,64,1,Glnd_Submand_R,4031,31,380,6,0.4899308860100461
0,0.0001,64,1,Glnd_Lacrimal_R,3236,1009,149,54,0.4667693626430963
0,0.0001,64,1,Cochlea_L,3389,965,75,19,0.4511120571859526
0,0.0001,64,1,OpticNrv_cnv_R,4058,261,120,9,0.5001367134441966
0,0.0001,64,1,Lens_R,4230,104,109,5,0.5101420365972642
0,0.0001,64,1,SpinalCord,699,1172,909,1668,0.5088393171869107
0,0.0001,64,1,Parotid_R,2837,985,481,145,0.47991296746489026
0,0.0001,64,1,Glnd_Submand_L,4008,72,363,5,0.4854993558371524
0,0.0001,64,1,Brainstem,3494,310,620,24,0.4658129260502977
0,0.0001,64,1,OpticNrv_cnv_L,3783,534,109,22,0.4928589578342938
0,0.0001,64,1,Cochlea_R,4337,23,88,0,0.49368241320432554
0,0.0001,64,1,Eye_R,4015,148,275,10,0.49755266072205384
0,0.0001,64,1,Lens_L,4195,141,109,3,0.49725115740740744
0,0.0001,64,1,Lung_L,2241,968,895,344,0.4880405681543325
0,0.0001,64,1,Eye_L,4101,64,282,1,0.48263491090205946
0,0.0001,64,1,Parotid_L,3164,660,523,101,0.4941730227675702
1,0.0001,64,1,Brain,2304,727,664,753,0.6439880700402085
1,0.0001,64,1,Bone_Mandible,3337,238,682,191,0.586123251155917
