epoch,lr,batch_size,undersample_frac,structure,tn,fp,fn,tp,f1
0,0.0001,64,1,Brain,2128,903,283,1134,0.7193477056678343
0,0.0001,64,1,Bone_Mandible,3538,37,863,10,0.45445030744407133
0,0.0001,64,1,SpinalCanal,361,1422,315,2350,0.5118845445609377
0,0.0001,64,1,Glnd_Lacrimal_L,4203,47,195,3,0.49810509981797024
0,0.0001,64,1,Lung_R,2194,1010,100,1144,0.7357228301328902
0,0.0001,64,1,Glnd_Submand_R,4062,0,386,0,0.4773207990599295
0,0.0001,64,1,Glnd_Lacrimal_R,3950,295,194,9,0.4886061699562896
0,0.0001,64,1,Cochlea_L,3662,692,77,17,0.4736604162168957
0,0.0001,64,1,OpticNrv_cnv_R,4309,10,129,0,0.49206349206349204
0,0.0001,64,1,Lens_R,4334,0,114,0,0.4935094511500797
0,0.0001,64,1,SpinalCord,457,1414,416,2161,0.5178130698684824
0,0.0001,64,1,Parotid_R,3671,151,609,17,0.4745085798387934
0,0.0001,64,1,Glnd_Submand_L,4079,1,368,0,0.47836284742582386
0,0.0001,64,1,Brainstem,3551,253,608,36,0.48452266975921193
0,0.0001,64,1,OpticNrv_cnv_L,4033,284,122,9,0.4972651308639336
0,0.0001,64,1,Cochlea_R,4346,14,88,0,0.49420059131225835
0,0.0001,64,1,Eye_R,4102,61,282,3,0.4885304684731619
0,0.0001,64,1,Lens_L,4334,2,112,0,0.4935094511500797
0,0.0001,64,1,Lung_L,2239,970,114,1125,0.7399855519726692
0,0.0001,64,1,Eye_L,3742,423,261,22,0.4883490652344717
0,0.0001,64,1,Parotid_L,3437,387,540,84,0.5172968692106561
0,0.0001,64,1,Brain,2128,903,283,1134,0.7193477056678343
0,0.0001,64,1,Bone_Mandible,3538,37,863,10,0.45445030744407133
0,0.0001,64,1,SpinalCanal,361,1422,315,2350,0.5118845445609377
0,0.0001,64,1,Glnd_Lacrimal_L,4203,47,195,3,0.49810509981797024
0,0.0001,64,1,Lung_R,2194,1010,100,1144,0.7357228301328902
0,0.0001,64,1,Glnd_Submand_R,4062,0,386,0,0.4773207990599295
0,0.0001,64,1,Glnd_Lacrimal_R,3950,295,194,9,0.4886061699562896
0,0.0001,64,1,Cochlea_L,3662,692,77,17,0.4736604162168957
0,0.0001,64,1,OpticNrv_cnv_R,4309,10,129,0,0.49206349206349204
0,0.0001,64,1,Lens_R,4334,0,114,0,0.4935094511500797
0,0.0001,64,1,SpinalCord,457,1414,416,2161,0.5178130698684824
0,0.0001,64,1,Parotid_R,3671,151,609,17,0.4745085798387934
0,0.0001,64,1,Glnd_Submand_L,4079,1,368,0,0.47836284742582386
0,0.0001,64,1,Brainstem,3551,253,608,36,0.48452266975921193
0,0.0001,64,1,OpticNrv_cnv_L,4033,284,122,9,0.4972651308639336
0,0.0001,64,1,Cochlea_R,4346,14,88,0,0.49420059131225835
0,0.0001,64,1,Eye_R,4102,61,282,3,0.4885304684731619
0,0.0001,64,1,Lens_L,4334,2,112,0,0.4935094511500797
0,0.0001,64,1,Lung_L,2239,970,114,1125,0.7399855519726692
0,0.0001,64,1,Eye_L,3742,423,261,22,0.4883490652344717
0,0.0001,64,1,Parotid_L,3437,387,540,84,0.5172968692106561
1,0.0001,64,1,Brain,2169,862,66,1351,0.7840638892463634
1,0.0001,64,1,Bone_Mandible,3148,427,643,230,0.5776957900546407
1,0.0001,64,1,SpinalCanal,406,1377,29,2636,0.5777767515692214
1,0.0001,64,1,Glnd_Lacrimal_L,4250,0,198,0,0.48861807312025757
1,0.0001,64,1,Lung_R,2781,423,88,1156,0.8674219828315071
1,0.0001,64,1,Glnd_Submand_R,4062,0,386,0,0.4773207990599295
1,0.0001,64,1,Glnd_Lacrimal_R,4245,0,203,0,0.4883239388013344
1,0.0001,64,1,Cochlea_L,4354,0,94,0,0.49466030447625536
1,0.0001,64,1,OpticNrv_cnv_R,4319,0,129,0,0.49264286529029316
1,0.0001,64,1,Lens_R,4334,0,114,0,0.4935094511500797
1,0.0001,64,1,SpinalCord,329,1542,12,2565,0.5324864213803604
1,0.0001,64,1,Parotid_R,3812,10,622,4,0.46797480620155035
1,0.0001,64,1,Glnd_Submand_L,4080,0,368,0,0.4784240150093808
1,0.0001,64,1,Brainstem,3788,16,635,9,0.4738880673446995
1,0.0001,64,1,OpticNrv_cnv_L,4317,0,131,0,0.4925270964061609
1,0.0001,64,1,Cochlea_R,4360,0,88,0,0.49500454132606725
1,0.0001,64,1,Eye_R,4163,0,285,0,0.48345139937289516
1,0.0001,64,1,Lens_L,4336,0,112,0,0.4936247723132969
1,0.0001,64,1,Lung_L,2787,422,85,1154,0.8682594915356716
1,0.0001,64,1,Eye_L,4165,0,283,0,0.4835713456403112
1,0.0001,64,1,Parotid_L,3819,5,622,2,0.4652385376250069
0,0.0001,64,1,Brain,2128,903,283,1134,0.7193477056678343
0,0.0001,64,1,Bone_Mandible,3538,37,863,10,0.45445030744407133
0,0.0001,64,1,SpinalCanal,361,1422,315,2350,0.5118845445609377
0,0.0001,64,1,Glnd_Lacrimal_L,4203,47,195,3,0.49810509981797024
0,0.0001,64,1,Lung_R,2194,1010,100,1144,0.7357228301328902
0,0.0001,64,1,Glnd_Submand_R,4062,0,386,0,0.4773207990599295
0,0.0001,64,1,Glnd_Lacrimal_R,3950,295,194,9,0.4886061699562896
0,0.0001,64,1,Cochlea_L,3662,692,77,17,0.4736604162168957
0,0.0001,64,1,OpticNrv_cnv_R,4309,10,129,0,0.49206349206349204
0,0.0001,64,1,Lens_R,4334,0,114,0,0.4935094511500797
0,0.0001,64,1,SpinalCord,457,1414,416,2161,0.5178130698684824
