epoch,lr,batch_size,undersample_frac,structure,tn,fp,fn,tp,f1
0,0.0001,64,1,Brain,1231,1800,498,919,0.48080880321180697
0,0.0001,64,1,Bone_Mandible,2923,652,678,195,0.5207020818749838
0,0.0001,64,1,SpinalCanal,163,1620,179,2486,0.443859921638128
0,0.0001,64,1,Glnd_Lacrimal_L,3253,997,159,39,0.4561673154302506
0,0.0001,64,1,Lung_R,2270,934,428,816,0.6571604747957454
0,0.0001,64,1,Glnd_Submand_R,4027,35,381,5,0.48717982828098066
0,0.0001,64,1,Glnd_Lacrimal_R,4140,105,198,5,0.49832326997530974
0,0.0001,64,1,Cochlea_L,3963,391,85,9,0.4898920345743784
0,0.0001,64,1,OpticNrv_cnv_R,4114,205,118,11,0.5129973780505374
0,0.0001,64,1,Lens_R,4246,88,110,4,0.5080250706648641
0,0.0001,64,1,SpinalCord,188,1683,191,2386,0.4425684956699101
0,0.0001,64,1,Parotid_R,3555,267,567,59,0.5094823427860571
0,0.0001,64,1,Glnd_Submand_L,4000,80,364,4,0.48255870010857577
0,0.0001,64,1,Brainstem,3064,740,566,78,0.46551191755114874
0,0.0001,64,1,OpticNrv_cnv_L,4310,7,131,0,0.492121488924412
0,0.0001,64,1,Cochlea_R,3929,431,79,9,0.48657222318790194
0,0.0001,64,1,Eye_R,3784,379,259,26,0.49880716478222015
0,0.0001,64,1,Lens_L,4330,6,112,0,0.49327865117338804
0,0.0001,64,1,Lung_L,2678,531,509,730,0.71069918699187
0,0.0001,64,1,Eye_L,3897,268,264,19,0.5013852189927136
0,0.0001,64,1,Parotid_L,2972,852,458,166,0.5108012144670823
0,0.0001,64,1,Brain,1231,1800,498,919,0.48080880321180697
0,0.0001,64,1,Bone_Mandible,2923,652,678,195,0.5207020818749838
0,0.0001,64,1,SpinalCanal,163,1620,179,2486,0.443859921638128
0,0.0001,64,1,Glnd_Lacrimal_L,3253,997,159,39,0.4561673154302506
0,0.0001,64,1,Lung_R,2270,934,428,816,0.6571604747957454
0,0.0001,64,1,Glnd_Submand_R,4027,35,381,5,0.48717982828098066
0,0.0001,64,1,Glnd_Lacrimal_R,4140,105,198,5,0.49832326997530974
0,0.0001,64,1,Cochlea_L,3963,391,85,9,0.4898920345743784
0,0.0001,64,1,OpticNrv_cnv_R,4114,205,118,11,0.5129973780505374
0,0.0001,64,1,Lens_R,4246,88,110,4,0.5080250706648641
0,0.0001,64,1,SpinalCord,188,1683,191,2386,0.4425684956699101
0,0.0001,64,1,Parotid_R,3555,267,567,59,0.5094823427860571
0,0.0001,64,1,Glnd_Submand_L,4000,80,364,4,0.48255870010857577
