epoch,lr,batch_size,undersample_frac,structure,tn,fp,fn,tp,f1
0,0.0001,64,1,Brain,2173,858,569,848,0.6479411954432059
0,0.0001,64,1,Bone_Mandible,3252,323,647,226,0.594039458684151
0,0.0001,64,1,SpinalCanal,290,1493,86,2579,0.5171327854726888
0,0.0001,64,1,Glnd_Lacrimal_L,3926,324,185,13,0.4938601227103586
0,0.0001,64,1,Lung_R,2336,868,529,715,0.6378251918757891
0,0.0001,64,1,Glnd_Submand_R,3989,73,376,10,0.49468140151604284
0,0.0001,64,1,Glnd_Lacrimal_R,3407,838,152,51,0.48327428593958577
0,0.0001,64,1,Cochlea_L,4104,250,87,7,0.5002238859465307
0,0.0001,64,1,OpticNrv_cnv_R,4006,313,113,16,0.509691549250583
0,0.0001,64,1,Lens_R,4082,252,106,8,0.5003859152843787
0,0.0001,64,1,SpinalCord,282,1589,152,2425,0.4902686928306561
0,0.0001,64,1,Parotid_R,3295,527,461,165,0.5600009771917831
0,0.0001,64,1,Glnd_Submand_L,3982,98,365,3,0.47892536503770117
0,0.0001,64,1,Brainstem,3358,446,598,46,0.47322491650936543
0,0.0001,64,1,OpticNrv_cnv_L,4289,28,125,6,0.5276017534178111
0,0.0001,64,1,Cochlea_R,3932,428,76,12,0.49261254997392667
0,0.0001,64,1,Eye_R,4162,1,285,0,0.48339140534262487
0,0.0001,64,1,Lens_L,4020,316,97,15,0.5094308484118399
0,0.0001,64,1,Lung_L,2354,855,636,603,0.6033204250353631
0,0.0001,64,1,Eye_L,4139,26,282,1,0.48528963128273334
0,0.0001,64,1,Parotid_L,3389,435,561,63,0.4920900464870561
0,0.0001,64,1,Brain,2173,858,569,848,0.6479411954432059
0,0.0001,64,1,Bone_Mandible,3252,323,647,226,0.594039458684151
0,0.0001,64,1,SpinalCanal,290,1493,86,2579,0.5171327854726888
0,0.0001,64,1,Glnd_Lacrimal_L,3926,324,185,13,0.4938601227103586
0,0.0001,64,1,Lung_R,2336,868,529,715,0.6378251918757891
0,0.0001,64,1,Glnd_Submand_R,3989,73,376,10,0.49468140151604284
0,0.0001,64,1,Glnd_Lacrimal_R,3407,838,152,51,0.48327428593958577
0,0.0001,64,1,Cochlea_L,4104,250,87,7,0.5002238859465307
