epoch,lr,batch_size,undersample_frac,structure,tn,fp,fn,tp,f1
0,0.0001,64,1,Brain,2080,951,416,1001,0.6734551659644554
0,0.0001,64,1,Bone_Mandible,3486,89,849,24,0.46504873539284497
0,0.0001,64,1,SpinalCanal,472,1311,599,2066,0.5073216751601207
0,0.0001,64,1,Glnd_Lacrimal_L,3803,447,179,19,0.49059210603346326
0,0.0001,64,1,Lung_R,2432,772,472,772,0.6750673435314036
0,0.0001,64,1,Glnd_Submand_R,4026,36,383,3,0.48232738686313864
0,0.0001,64,1,Glnd_Lacrimal_R,4159,86,201,2,0.49019650127493203
0,0.0001,64,1,Cochlea_L,4225,129,92,2,0.4961452607029818
0,0.0001,64,1,OpticNrv_cnv_R,4256,63,125,4,0.5096035655641568
0,0.0001,64,1,Lens_R,4197,137,111,3,0.497462493189277
0,0.0001,64,1,SpinalCord,11,1860,30,2547,0.3704438597247983
0,0.0001,64,1,Parotid_R,3694,128,600,26,0.48848365368818797
0,0.0001,64,1,Glnd_Submand_L,4054,26,365,3,0.48455396886224283
0,0.0001,64,1,Brainstem,3681,123,623,21,0.4806457994736038
0,0.0001,64,1,OpticNrv_cnv_L,4265,52,128,3,0.5057960816266065
0,0.0001,64,1,Cochlea_R,4223,137,86,2,0.49594865089693746
0,0.0001,64,1,Eye_R,4163,0,285,0,0.48345139937289516
0,0.0001,64,1,Lens_L,4319,17,112,0,0.49264286529029316
0,0.0001,64,1,Lung_L,2669,540,499,740,0.7123027294584054
0,0.0001,64,1,Eye_L,3799,366,253,30,0.5065168067279606
0,0.0001,64,1,Parotid_L,3814,10,623,1,0.46326225018991624
0,0.0001,64,1,Brain,2080,951,416,1001,0.6734551659644554
0,0.0001,64,1,Bone_Mandible,3486,89,849,24,0.46504873539284497
0,0.0001,64,1,SpinalCanal,472,1311,599,2066,0.5073216751601207
0,0.0001,64,1,Glnd_Lacrimal_L,3803,447,179,19,0.49059210603346326
0,0.0001,64,1,Lung_R,2432,772,472,772,0.6750673435314036
0,0.0001,64,1,Glnd_Submand_R,4026,36,383,3,0.48232738686313864
0,0.0001,64,1,Glnd_Lacrimal_R,4159,86,201,2,0.49019650127493203
0,0.0001,64,1,Cochlea_L,4225,129,92,2,0.4961452607029818
0,0.0001,64,1,OpticNrv_cnv_R,4256,63,125,4,0.5096035655641568
0,0.0001,64,1,Lens_R,4197,137,111,3,0.497462493189277
0,0.0001,64,1,SpinalCord,11,1860,30,2547,0.3704438597247983
0,0.0001,64,1,Parotid_R,3694,128,600,26,0.48848365368818797
0,0.0001,64,1,Glnd_Submand_L,4054,26,365,3,0.48455396886224283
0,0.0001,64,1,Brainstem,3681,123,623,21,0.4806457994736038
0,0.0001,64,1,OpticNrv_cnv_L,4265,52,128,3,0.5057960816266065
0,0.0001,64,1,Cochlea_R,4223,137,86,2,0.49594865089693746
0,0.0001,64,1,Eye_R,4163,0,285,0,0.48345139937289516
0,0.0001,64,1,Lens_L,4319,17,112,0,0.49264286529029316
0,0.0001,64,1,Lung_L,2669,540,499,740,0.7123027294584054
0,0.0001,64,1,Eye_L,3799,366,253,30,0.5065168067279606
0,0.0001,64,1,Parotid_L,3814,10,623,1,0.46326225018991624
1,0.0001,64,1,Brain,2058,973,194,1223,0.7280512528658185
1,0.0001,64,1,Bone_Mandible,3522,53,843,30,0.47495757933454885
1,0.0001,64,1,SpinalCanal,202,1581,36,2629,0.48235051954477975
1,0.0001,64,1,Glnd_Lacrimal_L,4250,0,198,0,0.48861807312025757
1,0.0001,64,1,Lung_R,2722,482,268,976,0.8006714551724683
1,0.0001,64,1,Glnd_Submand_R,4062,0,386,0,0.4773207990599295
1,0.0001,64,1,Glnd_Lacrimal_R,4245,0,203,0,0.4883239388013344
1,0.0001,64,1,Cochlea_L,4354,0,94,0,0.49466030447625536
1,0.0001,64,1,OpticNrv_cnv_R,4319,0,129,0,0.49264286529029316
1,0.0001,64,1,Lens_R,4334,0,114,0,0.4935094511500797
1,0.0001,64,1,SpinalCord,101,1770,13,2564,0.4218843613310216
1,0.0001,64,1,Parotid_R,3822,0,626,0,0.46215235792019344
1,0.0001,64,1,Glnd_Submand_L,4080,0,368,0,0.4784240150093808
1,0.0001,64,1,Brainstem,3804,0,644,0,0.46097915656810473
1,0.0001,64,1,OpticNrv_cnv_L,4317,0,131,0,0.4925270964061609
1,0.0001,64,1,Cochlea_R,4360,0,88,0,0.49500454132606725
1,0.0001,64,1,Eye_R,4163,0,285,0,0.48345139937289516
1,0.0001,64,1,Lens_L,4336,0,112,0,0.4936247723132969
1,0.0001,64,1,Lung_L,2742,467,254,985,0.8079366234360454
1,0.0001,64,1,Eye_L,4165,0,283,0,0.4835713456403112
1,0.0001,64,1,Parotid_L,3824,0,624,0,0.4622823984526112
0,0.0001,64,1,Brain,2080,951,416,1001,0.6734551659644554
0,0.0001,64,1,Bone_Mandible,3486,89,849,24,0.46504873539284497
0,0.0001,64,1,SpinalCanal,472,1311,599,2066,0.5073216751601207
0,0.0001,64,1,Glnd_Lacrimal_L,3803,447,179,19,0.49059210603346326
0,0.0001,64,1,Lung_R,2432,772,472,772,0.6750673435314036
0,0.0001,64,1,Glnd_Submand_R,4026,36,383,3,0.48232738686313864
0,0.0001,64,1,Glnd_Lacrimal_R,4159,86,201,2,0.49019650127493203
0,0.0001,64,1,Cochlea_L,4225,129,92,2,0.4961452607029818
0,0.0001,64,1,OpticNrv_cnv_R,4256,63,125,4,0.5096035655641568
0,0.0001,64,1,Lens_R,4197,137,111,3,0.497462493189277
0,0.0001,64,1,SpinalCord,11,1860,30,2547,0.3704438597247983
0,0.0001,64,1,Parotid_R,3694,128,600,26,0.48848365368818797
0,0.0001,64,1,Glnd_Submand_L,4054,26,365,3,0.48455396886224283
0,0.0001,64,1,Brainstem,3681,123,623,21,0.4806457994736038
0,0.0001,64,1,OpticNrv_cnv_L,4265,52,128,3,0.5057960816266065
0,0.0001,64,1,Cochlea_R,4223,137,86,2,0.49594865089693746
0,0.0001,64,1,Eye_R,4163,0,285,0,0.48345139937289516
0,0.0001,64,1,Lens_L,4319,17,112,0,0.49264286529029316
0,0.0001,64,1,Lung_L,2669,540,499,740,0.7123027294584054
0,0.0001,64,1,Eye_L,3799,366,253,30,0.5065168067279606
0,0.0001,64,1,Parotid_L,3814,10,623,1,0.46326225018991624
1,0.0001,64,1,Brain,2058,973,194,1223,0.7280512528658185
1,0.0001,64,1,Bone_Mandible,3522,53,843,30,0.47495757933454885
1,0.0001,64,1,SpinalCanal,202,1581,36,2629,0.48235051954477975
1,0.0001,64,1,Glnd_Lacrimal_L,4250,0,198,0,0.48861807312025757
1,0.0001,64,1,Lung_R,2722,482,268,976,0.8006714551724683
1,0.0001,64,1,Glnd_Submand_R,4062,0,386,0,0.4773207990599295
1,0.0001,64,1,Glnd_Lacrimal_R,4245,0,203,0,0.4883239388013344
1,0.0001,64,1,Cochlea_L,4354,0,94,0,0.49466030447625536
1,0.0001,64,1,OpticNrv_cnv_R,4319,0,129,0,0.49264286529029316
1,0.0001,64,1,Lens_R,4334,0,114,0,0.4935094511500797
1,0.0001,64,1,SpinalCord,101,1770,13,2564,0.4218843613310216
1,0.0001,64,1,Parotid_R,3822,0,626,0,0.46215235792019344
1,0.0001,64,1,Glnd_Submand_L,4080,0,368,0,0.4784240150093808
1,0.0001,64,1,Brainstem,3804,0,644,0,0.46097915656810473
1,0.0001,64,1,OpticNrv_cnv_L,4317,0,131,0,0.4925270964061609
1,0.0001,64,1,Cochlea_R,4360,0,88,0,0.49500454132606725
1,0.0001,64,1,Eye_R,4163,0,285,0,0.48345139937289516
1,0.0001,64,1,Lens_L,4336,0,112,0,0.4936247723132969
1,0.0001,64,1,Lung_L,2742,467,254,985,0.8079366234360454
1,0.0001,64,1,Eye_L,4165,0,283,0,0.4835713456403112
1,0.0001,64,1,Parotid_L,3824,0,624,0,0.4622823984526112
2,0.0001,64,1,Brain,2141,890,120,1297,0.7644508537167487
2,0.0001,64,1,Bone_Mandible,3284,291,553,320,0.6586987226948942
2,0.0001,64,1,SpinalCanal,625,1158,103,2562,0.6501577553673781
2,0.0001,64,1,Glnd_Lacrimal_L,4250,0,198,0,0.48861807312025757
2,0.0001,64,1,Lung_R,2732,472,115,1129,0.8483321759188667
2,0.0001,64,1,Glnd_Submand_R,4062,0,386,0,0.4773207990599295
2,0.0001,64,1,Glnd_Lacrimal_R,4245,0,203,0,0.4883239388013344
2,0.0001,64,1,Cochlea_L,4354,0,94,0,0.49466030447625536
2,0.0001,64,1,OpticNrv_cnv_R,4319,0,129,0,0.49264286529029316
2,0.0001,64,1,Lens_R,4334,0,114,0,0.4935094511500797
2,0.0001,64,1,SpinalCord,540,1331,75,2502,0.6075440250112015
2,0.0001,64,1,Parotid_R,3811,11,610,16,0.4868339724512645
2,0.0001,64,1,Glnd_Submand_L,4080,0,368,0,0.4784240150093808
2,0.0001,64,1,Brainstem,3783,21,606,38,0.5157896820291548
2,0.0001,64,1,OpticNrv_cnv_L,4317,0,131,0,0.4925270964061609
2,0.0001,64,1,Cochlea_R,4360,0,88,0,0.49500454132606725
2,0.0001,64,1,Eye_R,4163,0,285,0,0.48345139937289516
2,0.0001,64,1,Lens_L,4336,0,112,0,0.4936247723132969
2,0.0001,64,1,Lung_L,2738,471,118,1121,0.8474158584019875
2,0.0001,64,1,Eye_L,4165,0,283,0,0.4835713456403112
2,0.0001,64,1,Parotid_L,3807,17,601,23,0.4971021110681794
0,0.0001,64,1,Brain,2080,951,416,1001,0.6734551659644554
0,0.0001,64,1,Bone_Mandible,3486,89,849,24,0.46504873539284497
0,0.0001,64,1,SpinalCanal,472,1311,599,2066,0.5073216751601207
0,0.0001,64,1,Glnd_Lacrimal_L,3803,447,179,19,0.49059210603346326
0,0.0001,64,1,Lung_R,2432,772,472,772,0.6750673435314036
0,0.0001,64,1,Glnd_Submand_R,4026,36,383,3,0.48232738686313864
0,0.0001,64,1,Glnd_Lacrimal_R,4159,86,201,2,0.49019650127493203
0,0.0001,64,1,Cochlea_L,4225,129,92,2,0.4961452607029818
0,0.0001,64,1,OpticNrv_cnv_R,4256,63,125,4,0.5096035655641568
0,0.0001,64,1,Lens_R,4197,137,111,3,0.497462493189277
0,0.0001,64,1,SpinalCord,11,1860,30,2547,0.3704438597247983
0,0.0001,64,1,Parotid_R,3694,128,600,26,0.48848365368818797
0,0.0001,64,1,Glnd_Submand_L,4054,26,365,3,0.48455396886224283
0,0.0001,64,1,Brainstem,3681,123,623,21,0.4806457994736038
0,0.0001,64,1,OpticNrv_cnv_L,4265,52,128,3,0.5057960816266065
0,0.0001,64,1,Cochlea_R,4223,137,86,2,0.49594865089693746
0,0.0001,64,1,Eye_R,4163,0,285,0,0.48345139937289516
0,0.0001,64,1,Lens_L,4319,17,112,0,0.49264286529029316
0,0.0001,64,1,Lung_L,2669,540,499,740,0.7123027294584054
0,0.0001,64,1,Eye_L,3799,366,253,30,0.5065168067279606
0,0.0001,64,1,Parotid_L,3814,10,623,1,0.46326225018991624
1,0.0001,64,1,Brain,2058,973,194,1223,0.7280512528658185
1,0.0001,64,1,Bone_Mandible,3522,53,843,30,0.47495757933454885
1,0.0001,64,1,SpinalCanal,202,1581,36,2629,0.48235051954477975
1,0.0001,64,1,Glnd_Lacrimal_L,4250,0,198,0,0.48861807312025757
